CB-A1;2027-09-10;2027-09-17;;7;95,00;665,00;0,00;Cancel Test Guest;2;cancel.uat@test.local;+34600000001;;Booking;BK-2027-CANCEL-01;Cancelled
CB-A2;2027-07-08;2027-07-13;;5;140,00;700,00;700,00;IEET Test Family;4;ieet.uat@test.local;+34600000008;;Airbnb;BK-2027-IEET-08;Confirmed
CB-B1;2027-08-20;2027-08-27;;7;110,00;770,00;770,00;Familia Con Niños UAT;2;ninos.uat@test.local;+34600000010;;Airbnb;BK-2027-CHILD-10;Confirmed
CB-B1;2027-07-10;2027-07-14;;4;172,46;689,84;689,84;Claire Martin;3;guest4@uat-ficticio.test;+34610000004;;VRBO;BK-2027-0004;Confirmed
CB-A2;2027-03-12;2027-03-14;;2;138,00;276,00;276,00;Emma Johnson;2;guest5@uat-ficticio.test;+34610000005;;VRBO;BK-2027-0005;Confirmed
CB-A1;2027-02-16;2027-02-25;;9;159,12;1432,08;1432,08;Isabel García;1;guest6@uat-ficticio.test;+34610000006;;Airbnb;BK-2027-0006;Confirmed
CB-A1;2027-12-10;2027-12-17;;7;178,71;1250,97;1250,97;Elena Petrova;4;guest7@uat-ficticio.test;+34610000007;;Airbnb;BK-2027-0007;Confirmed
CB-A2;2027-10-07;2027-10-11;;4;141,01;564,04;0,00;Isabel García;1;guest8@uat-ficticio.test;+34610000008;;Airbnb;BK-2027-0008;Cancelled
CB-C1;2027-01-19;2027-01-22;;3;184,06;552,18;552,18;Emma Johnson;4;guest9@uat-ficticio.test;+34610000009;;VRBO;BK-2027-0009;Confirmed
CB-A1;2027-04-06;2027-04-09;;3;189,71;569,13;569,13;Henrik Nielsen;4;guest10@uat-ficticio.test;+34610000010;;Booking;BK-2027-0010;Confirmed
CB-A1;2027-12-12;2027-12-21;;9;85,84;772,56;772,56;Claire Martin;4;guest11@uat-ficticio.test;+34610000011;;Airbnb;BK-2027-0011;Confirmed
CB-A2;2027-12-14;2027-12-17;;3;119,17;357,51;357,51;Sophie Dubois;4;guest12@uat-ficticio.test;+34610000012;;Airbnb;BK-2027-0012;Confirmed
CB-C1;2027-04-15;2027-04-19;;4;120,90;483,60;483,60;Claire Martin;4;guest13@uat-ficticio.test;+34610000013;;Direct;BK-2027-0013;Confirmed
CB-A2;2027-03-10;2027-03-17;;7;86,03;602,21;602,21;Thomas Becker;1;guest14@uat-ficticio.test;+34610000014;;Airbnb;BK-2027-0014;Confirmed
CB-A2;2027-01-20;2027-01-28;;8;111,80;894,40;894,40;Sophie Dubois;4;guest15@uat-ficticio.test;+34610000015;;Airbnb;BK-2027-0015;Confirmed
CB-C1;2027-12-04;2027-12-08;;4;145,81;583,24;583,24;Anna Müller;2;guest16@uat-ficticio.test;+34610000016;;Direct;BK-2027-0016;Confirmed
CB-C1;2027-04-04;2027-04-08;;4;132,66;530,64;530,64;Lucas Silva;2;guest17@uat-ficticio.test;+34610000017;;Booking;BK-2027-0017;Confirmed
CB-C1;2027-11-10;2027-11-18;;8;85,11;680,88;680,88;Oliver Brown;3;guest18@uat-ficticio.test;+34610000018;;Direct;BK-2027-0018;Confirmed
CB-C1;2027-02-19;2027-02-27;;8;92,98;743,84;743,84;Marco Rossi;4;guest19@uat-ficticio.test;+34610000019;;VRBO;BK-2027-0019;Confirmed
CB-C1;2027-02-14;2027-02-18;;4;162,34;649,36;649,36;Elena Petrova;2;guest20@uat-ficticio.test;+34610000020;;Direct;BK-2027-0020;Confirmed
CB-A2;2027-10-13;2027-10-18;;5;162,59;812,95;812,95;Thomas Becker;2;guest21@uat-ficticio.test;+34610000021;;Direct;BK-2027-0021;Confirmed
CB-B1;2027-12-06;2027-12-09;;3;166,55;499,65;499,65;Elena Petrova;2;guest22@uat-ficticio.test;+34610000022;;Airbnb;BK-2027-0022;Confirmed
CB-C1;2027-08-16;2027-08-18;;2;140,02;280,04;280,04;Henrik Nielsen;2;guest23@uat-ficticio.test;+34610000023;;Airbnb;BK-2027-0023;Confirmed
CB-B1;2027-01-15;2027-01-18;;3;168,83;506,49;506,49;Isabel García;1;guest24@uat-ficticio.test;+34610000024;;Direct;BK-2027-0024;Confirmed
CB-A2;2027-12-12;2027-12-14;;2;167,16;334,32;334,32;Pierre Laurent;3;guest25@uat-ficticio.test;+34610000025;;VRBO;BK-2027-0025;Confirmed
CB-B1;2027-07-07;2027-07-10;;3;87,93;263,79;263,79;Anna Müller;2;guest26@uat-ficticio.test;+34610000026;;Direct;BK-2027-0026;Confirmed
CB-A2;2027-08-04;2027-08-07;;3;192,20;576,60;576,60;Thomas Becker;1;guest27@uat-ficticio.test;+34610000027;;Airbnb;BK-2027-0027;Confirmed
CB-B1;2027-08-12;2027-08-17;;5;151,05;755,25;755,25;Marco Rossi;4;guest28@uat-ficticio.test;+34610000028;;VRBO;BK-2027-0028;Confirmed
CB-A1;2027-01-20;2027-01-22;;2;185,89;371,78;371,78;Lucas Silva;1;guest29@uat-ficticio.test;+34610000029;;Direct;BK-2027-0029;Confirmed
CB-A2;2027-05-20;2027-05-25;;5;142,18;710,90;710,90;Isabel García;4;guest30@uat-ficticio.test;+34610000030;;VRBO;BK-2027-0030;Confirmed
CB-B1;2027-11-05;2027-11-12;;7;171,46;1200,22;1200,22;Pierre Laurent;3;guest31@uat-ficticio.test;+34610000031;;Booking;BK-2027-0031;Confirmed
CB-C1;2027-10-03;2027-10-11;;8;89,35;714,80;714,80;Lucas Silva;4;guest32@uat-ficticio.test;+34610000032;;Booking;BK-2027-0032;Confirmed
CB-C1;2027-03-20;2027-03-28;;8;103,86;830,88;830,88;Laura Schmidt;1;guest33@uat-ficticio.test;+34610000033;;Airbnb;BK-2027-0033;Confirmed
CB-A2;2027-07-14;2027-07-23;;9;187,69;1689,21;1689,21;James Wilson;3;guest34@uat-ficticio.test;+34610000034;;VRBO;BK-2027-0034;Confirmed
CB-B1;2027-10-13;2027-10-20;;7;96,27;673,89;673,89;Emma Johnson;3;guest35@uat-ficticio.test;+34610000035;;Booking;BK-2027-0035;Confirmed
CB-A1;2027-08-10;2027-08-18;;8;183,65;1469,20;0,00;Thomas Becker;3;guest36@uat-ficticio.test;+34610000036;;Direct;BK-2027-0036;Confirmed
CB-C1;2027-05-14;2027-05-23;;9;171,05;1539,45;1539,45;Oliver Brown;1;guest37@uat-ficticio.test;+34610000037;;Booking;BK-2027-0037;Confirmed
CB-A2;2027-03-14;2027-03-21;;7;124,92;874,44;874,44;Thomas Becker;1;guest38@uat-ficticio.test;+34610000038;;Booking;BK-2027-0038;Confirmed
CB-C1;2027-10-11;2027-10-15;;4;92,44;369,76;0,00;Isabel García;4;guest39@uat-ficticio.test;+34610000039;;Direct;BK-2027-0039;Confirmed
CB-B1;2027-04-20;2027-04-25;;5;145,64;728,20;728,20;Elena Petrova;1;guest40@uat-ficticio.test;+34610000040;;Booking;BK-2027-0040;Confirmed
CB-B1;2027-02-13;2027-02-16;;3;127,31;381,93;381,93;James Wilson;3;guest41@uat-ficticio.test;+34610000041;;Airbnb;BK-2027-0041;Confirmed
CB-C1;2027-02-05;2027-02-10;;5;166,87;834,35;834,35;Marta Kowalski;1;guest42@uat-ficticio.test;+34610000042;;VRBO;BK-2027-0042;Confirmed
CB-A2;2027-02-18;2027-02-26;;8;100,70;805,60;805,60;Elena Petrova;4;guest43@uat-ficticio.test;+34610000043;;Airbnb;BK-2027-0043;Confirmed
CB-B1;2027-03-18;2027-03-25;;7;96,55;675,85;675,85;James Wilson;1;guest44@uat-ficticio.test;+34610000044;;VRBO;BK-2027-0044;Confirmed
CB-B1;2027-11-15;2027-11-20;;5;184,48;922,40;922,40;Emma Johnson;4;guest45@uat-ficticio.test;+34610000045;;Direct;BK-2027-0045;Confirmed
CB-A1;2027-11-06;2027-11-09;;3;196,80;590,40;590,40;Henrik Nielsen;1;guest46@uat-ficticio.test;+34610000046;;VRBO;BK-2027-0046;Confirmed
CB-A2;2027-03-01;2027-03-04;;3;185,85;557,55;557,55;Oliver Brown;2;guest47@uat-ficticio.test;+34610000047;;VRBO;BK-2027-0047;Confirmed
CB-A1;2027-05-01;2027-05-07;;6;152,13;912,78;912,78;Anna Müller;3;guest48@uat-ficticio.test;+34610000048;;Direct;BK-2027-0048;Confirmed
CB-C1;2027-06-20;2027-06-28;;8;106,43;851,44;851,44;Henrik Nielsen;3;guest49@uat-ficticio.test;+34610000049;;Airbnb;BK-2027-0049;Confirmed
CB-A1;2027-09-07;2027-09-16;;9;181,67;1635,03;1635,03;Laura Schmidt;3;guest50@uat-ficticio.test;+34610000050;;Airbnb;BK-2027-0050;Confirmed
CB-A1;2027-06-10;2027-06-18;;8;132,65;1061,20;1061,20;Emma Johnson;2;guest51@uat-ficticio.test;+34610000051;;Airbnb;BK-2027-0051;Confirmed
CB-A2;2027-11-08;2027-11-10;;2;87,39;174,78;174,78;Marta Kowalski;1;guest52@uat-ficticio.test;+34610000052;;Airbnb;BK-2027-0052;Confirmed
CB-A1;2027-04-13;2027-04-22;;9;188,16;1693,44;1693,44;Thomas Becker;4;guest53@uat-ficticio.test;+34610000053;;VRBO;BK-2027-0053;Confirmed
CB-A1;2027-08-05;2027-08-11;;6;109,05;654,30;654,30;Emma Johnson;1;guest54@uat-ficticio.test;+34610000054;;Direct;BK-2027-0054;Confirmed
CB-B1;2027-10-16;2027-10-24;;8;128,84;1030,72;0,00;Lucas Silva;4;guest55@uat-ficticio.test;+34610000055;;VRBO;BK-2027-0055;Confirmed
CB-C1;2027-11-09;2027-11-12;;3;173,78;521,34;521,34;Pierre Laurent;2;guest56@uat-ficticio.test;+34610000056;;VRBO;BK-2027-0056;Confirmed
CB-A1;2027-07-14;2027-07-16;;2;145,61;291,22;291,22;Pierre Laurent;4;guest57@uat-ficticio.test;+34610000057;;Booking;BK-2027-0057;Confirmed
CB-B1;2027-05-17;2027-05-20;;3;193,62;580,86;580,86;Oliver Brown;4;guest58@uat-ficticio.test;+34610000058;;VRBO;BK-2027-0058;Confirmed
CB-B1;2027-04-08;2027-04-15;;7;184,38;1290,66;0,00;Anna Müller;3;guest59@uat-ficticio.test;+34610000059;;Booking;BK-2027-0059;Confirmed
CB-A2;2027-02-20;2027-03-01;;9;179,16;1612,44;0,00;Thomas Becker;3;guest60@uat-ficticio.test;+34610000060;;VRBO;BK-2027-0060;Confirmed
